Ranged,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RangeFalloff,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,
RecoilDelay,15,20,30,34,23,12,15,17,15,17,11,30,30,17
ReloadTime,25,25,25,25,25,30,30,30,30,30,30,25,25,25
ShareDamage,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
StopPower,2,2,40,40,20,5,7,9,9,12,5,20,20,15
SwingAmountBeforeImpact,0,0,,,0,0,0,0,0,0,0,,0,0
SwingTime,0.5,0.5,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,0.5
MinimumSwingTime,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,2,0.5
UseEndurance,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Weight,4,4,4,3.5,4,1.5,1.5,1.5,1.75,2,1.5,4,3.5,4
SplatBloodOnNoDeath,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SplatNumber,3,3,5,5,3,3,3,3,3,3,3,5,5,3
SplatSize,3,3,,,3,3,3,3,3,3,3,,,3
BreakSound,M16Break,M14Break,DoubleBarrelShotgunBreak,SawnOffDoubleBarrelShotgunBreak,MSR788Break,M9Break,M1911Break,DesertEagleBreak,M625Break,MagnumBreak,M36Break,JS2000ShotgunBreak,SawnOffJS2000ShotgunBreak,MSR700Break
BringToBearSound,M16BringToBear,M14BringToBear,DoubleBarrelShotgunBringToBear,,MSR788BringToBear,M9BringToBear,M1911BringToBear,DesertEagleBringToBear,M625BringToBear,MagnumBringToBear,M36BringToBear,JS2000ShotgunBringToBear,SawnOffJS2000ShotgunBringToBear,MSR700BringToBear
ClickSound,M16Jam,M14Jam,DoubleBarrelShotgunJam,SawnOffDoubleBarrelShotgunJam,MSR788Jam,M9Jam,M1911Jam,DesertEagleJam,M625Jam,MagnumJam,M36Jam,JS2000ShotgunJam,SawnOffJS2000ShotgunJam,MSR700Jam
DropSound,M16Drop,M14Drop,DoubleBarrelShotgunDrop,SawnOffDoubleBarrelShotgunDrop,MSR788Drop,M9Drop,M1911Drop,DesertEagleDrop,M625Drop,MagnumDrop,M36Drop,JS2000ShotgunDrop,SawnOffJS2000ShotgunDrop,MSR700Drop
EjectAmmoSound,M16EjectAmmo,M14EjectAmmo,DoubleBarrelShotgunEjectAmmo,SawnOffDoubleBarrelShotgunEjectAmmo,MSR788EjectAmmo,M9EjectAmmo,M1911EjectAmmo,DesertEagleEjectAmmo,M625EjectAmmo,MagnumEjectAmmo,M36EjectAmmo,JS2000ShotgunEjectAmmo,,MSR700EjectAmmo
EjectAmmoStartSound,M16EjectAmmoStart,M14EjectAmmoStart,DoubleBarrelShotgunEjectAmmoStart,SawnOffDoubleBarrelShotgunEjectAmmoStart,MSR788EjectAmmoStart,M9EjectAmmoStart,M1911EjectAmmoStart,DesertEagleEjectAmmoStart,M625EjectAmmoStart,MagnumEjectAmmoStart,M36EjectAmmoStart,JS2000ShotgunEjectAmmoStart,,MSR700EjectAmmoStart
EjectAmmoStopSound,M16EjectAmmoStop,M14EjectAmmoStop,DoubleBarrelShotgunEjectAmmoStop,SawnOffDoubleBarrelShotgunEjectAmmoStop,MSR788EjectAmmoStop,M9EjectAmmoStop,M1911EjectAmmoStop,DesertEagleEjectAmmoStop,M625EjectAmmoStop,MagnumEjectAmmoStop,M36EjectAmmoStop,JS2000ShotgunEjectAmmoStop,,MSR700EjectAmmoStop
EquipSound,M16Equip,M14Equip,DoubleBarrelShotgunEquip,SawnOffDoubleBarrelShotgunEquip,MSR788Equip,M9Equip,M1911Equip,DesertEagleEquip,M625Equip,MagnumEquip,M36Equip,JS2000ShotgunEquip,SawnOffJS2000ShotgunEquip,MSR700Equip
HitSound,BulletImpact,BulletImpact,BulletImpact,,BulletImpact,BulletImpact,BulletImpact,BulletImpact,BulletImpact,BulletImpact,BulletImpact,BulletImpact,BulletImpact,BulletImpact
ImpactSound,null,null,null,null,null,null,null,null,null,null,null,null,null,null
InsertAmmoSound,M16InsertAmmo,M14InsertAmmo,DoubleBarrelShotgunInsertAmmo,SawnOffDoubleBarrelShotgunInsertAmmo,MSR788InsertAmmo,M9InsertAmmo,M1911InsertAmmo,DesertEagleInsertAmmo,M625InsertAmmo,MagnumInsertAmmo,M36InsertAmmo,JS2000ShotgunInsertAmmo,SawnOffJS2000ShotgunInsertAmmo,MSR700InsertAmmo
InsertAmmoStartSound,M16InsertAmmoStart,M14InsertAmmoStart,DoubleBarrelShotgunInsertAmmoStart,SawnOffDoubleBarrelShotgunInsertAmmoStart,MSR788InsertAmmoStart,M9InsertAmmoStart,M1911InsertAmmoStart,DesertEagleInsertAmmoStart,M625InsertAmmoStart,MagnumInsertAmmoStart,M36InsertAmmoStart,JS2000ShotgunInsertAmmoStart,,MSR700InsertAmmoStart
InsertAmmoStopSound,M16InsertAmmoStop,M14InsertAmmoStop,DoubleBarrelShotgunInsertAmmoStop,SawnOffDoubleBarrelShotgunInsertAmmoStop,MSR788InsertAmmoStop,M9InsertAmmoStop,M1911InsertAmmoStop,DesertEagleInsertAmmoStop,M625InsertAmmoStop,MagnumInsertAmmoStop,M36InsertAmmoStop,JS2000ShotgunInsertAmmoStop,,MSR700InsertAmmoStop
NPCSoundBoost,1.5,1.5,,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,1.5,1.5
RackSound,M16Rack,M14Rack,,,MSR788Rack,M9Rack,M1911Rack,DesertEagleRack,,,,JS2000ShotgunRack,SawnOffJS2000ShotgunRack,MSR700Rack
ShellFallSound,M16CartridgeFall,M14CartridgeFall,DoubleBarrelShotgunCartridgeFall,SawnOffDoubleBarrelShotgunCartridgeFall,MSR788CartridgeFall,M9CartridgeFall,M1911CartridgeFall,DesertEagleCartridgeFall,M625CartridgeFall,MagnumCartridgeFall,M36CartridgeFall,JS2000ShotgunCartridgeFall,SawnOffJS2000ShotgunCartridgeFall,MSR700CartridgeFall
SoundGain,2,2,2,2,2,1.5,1.5,1.5,1.5,1.5,1.5,2,2,2
SoundRadius,150,170,200,200,170,100,70,120,80,120,60,200,200,150
SoundVolume,35,30,200,200,200,30,50,75,50,75,25,200,250,200
SwingSound,M16Shoot,M14Shoot,DoubleBarrelShotgunShoot,SawnOffDoubleBarrelShotgunShoot,MSR788Shoot,M9Shoot,M1911Shoot,DesertEagleShoot,M625Shoot,MagnumShoot,M36Shoot,JS2000ShotgunShoot,SawnOffJS2000ShotgunShoot,MSR700Shoot
UnequipSound,M16UnEquip,M14UnEquip,DoubleBarrelShotgunUnEquip,SawnOffDoubleBarrelShotgunUnEquip,MSR788UnEquip,M9UnEquip,M1911UnEquip,DesertEagleUnequip,M625UnEquip,MagnumUnEquip,M36UnEquip,JS2000ShotgunUnEquip,SawnOffJS2000ShotgunUnEquip,MSR700UnEquip
GunLight,,,,,,,,,,,,,,
IronSight,,,,,,,,,,,,,,
Laser,,,,,,,,,,,,,,
RecoilPad,,,,,,,,,,,,,,
RedDot,,,,,,,,,,,,,,
x2Scope,,,,,,,,,,,,,,
x4Scope,,,,,,,,,,,,,,
x8Scope,,,,,,,,,,,,,,
ChokeTubeFull,,,,,,,,,,,,,,
ChokeTubeImproved,,,,,,,,,,,,,,
