Tags,ChopTree;CutPlant;RemoveBarricade;Sharpenable;KillAnimal;RepairWithTape;RepairWithGlue;SmeltableIronMedium,ChopTree;CutPlant;KillAnimal;RepairWithTape;RepairWithGlue,ChopTree;CutPlant;Sharpenable;RepairWithTape;RepairWithGlue;SmeltableIronMedium,ChopTree;CutPlant;Sharpenable;RepairWithEpoxy;SmeltableIronMedium,ChopTree;CutPlant;Sharpenable;RepairWithEpoxy;SmeltableIronSmall,ChopTree;CutPlant;Sharpenable;KillAnimal;HasMetal;SmeltableIronSmall,HasMetal;RepairWithGlue;RepairWithTape;SmeltableIronSmall,ChopTree;CutPlant;Sharpenable;KillAnimal;RepairWithGlue;RepairWithTape;SmeltableIronSmall,HasMetal;RepairWithGlue;RepairWithTape;SmeltableIronSmall,IgnoreZombieDensity;RepairWithGlue;RepairWithTape,HasMetal;RepairWithGlue;RepairWithTape;SmeltableIronMedium,ChopTree;CutPlant;HasMetal;RepairWithGlue;RepairWithTape;SmeltableIronMedium,DigPlow;PickAxe;HasToolHead;KillAnimal;RepairWithGlue;RepairWithTape;SmeltableIronMedium,DigPlow;PickAxe;HasToolHead;KillAnimal;RepairWithGlue;RepairWithTape;SmeltableIronMedium,ChopTree;CutPlant;Sharpenable;RepairWithGlue;RepairWithTape;SmeltableIronSmall,ChopTree;CutPlant;RepairWithGlue;RepairWithTape,ChopTree;CutPlant;Sharpenable;HasMetal;RepairWithGlue;RepairWithTape
Type,Weapon,Weapon,Weapon,Weapon,Weapon,Weapon,Weapon,Weapon,Weapon,Weapon,Weapon,Weapon,Weapon,Weapon,Weapon,Weapon,Weapon
StaticModel,,,,,,,,,,,,,,,,,
WeaponSprite,FireAxe,StoneAxe,Axe_Old,Axe_Sawblade,Axe_ScrapCleaver,BaseballBat_Metal_Sawblade,BaseBallBat_RailSpike,BaseBallBat_CircularSaw,FieldHockeyStick_Sawblade,JawboneBovide_Axe,LongHandleRailspike,LongHandleSawblade,,PickAxeForged,ShortBat_Sawblade,StoneAxeLarge,TableLeg_Sawblade
WeaponSpritesByIndex,,,,,,,,,,,,,PickAxe;PickAxeForged,,,,
WorldStaticModel,,,,,,,,,,,,,,,,,
WorldStaticModelsByIndex,,,,,,,,,,,,,,,,,
AttachmentType,BigWeapon,BigWeapon,BigWeapon,BigWeapon,BigWeapon,BigWeapon,BigWeapon,BigWeapon,BigBlade,BigWeapon,BigWeapon,BigWeapon,BigBlade,BigBlade,BigWeapon,BigWeapon,BigWeapon
IdleAnim,Idle_Weapon2,Idle_Weapon2,Idle_Weapon2,Idle_Weapon2,Idle_Weapon2,Idle_Weapon2,Idle_Weapon2,Idle_Weapon2,Idle_Weapon2,Idle_Weapon2,Idle_Weapon2,Idle_Weapon2,Idle_Weapon2,Idle_Weapon2,Idle_Weapon2,Idle_Weapon2,
RunAnim,Run_Weapon2,Run_Weapon2,Run_Weapon2,Run_Weapon2,Run_Weapon2,Run_Weapon2,Run_Weapon2,Run_Weapon2,Run_Weapon2,Run_Weapon2,Run_Weapon2,Run_Weapon2,Run_Weapon2,Run_Weapon2,Run_Weapon2,Run_Weapon2,
SwingAnim,Bat,Bat,Bat,Bat,Heavy,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Heavy,Bat
CloseKillMove,,,,,,,,,,,,,,,,,
TwoHandWeapon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE
RequiresEquippedBothHands,,,,,TRUE,,,,,,,,,,,TRUE,TRUE
AimingMod,,,,,,,,,,,,,,,,,
IsAimedHandWeapon,,,,,,,,,,,,,,,,,
SwingAmountBeforeImpact,0.002,,0.002,0.002,0.002,0.002,0.02,0.002,0.02,0.02,0.02,0.02,0.002,0.002,0.002,0.002,0.02
SwingTime,3.0,3.0,3.0,3.0,0.5,3,3,3,2,3,4,4,3.0,3.0,3,0.5,4
MinimumSwingTime,3.0,3.0,3.0,3.0,0.5,3,3,3,2,3,4,4,3.0,3.0,3,0.5,4
CanBarricade,,,,,,,,,,,,,,,,,
CanStoreWater,,,,,,,,,,,,,,,,,
CantAttackWithLowestEndurance,,,,,,,,,,,,,,,,,
SurvivalGear,,,,,,,,,,,,,,,,,
DamageMakeHole,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AlwaysKnockdown,,,,,,,,,,,,,,,,,
KnockBackOnNoDeath,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
KnockdownMod,2,1.5,2,2,3,2,2,2,0,0,2,2,2,2,2,3,2
BaseSpeed,1,1,1,0.95,0.9,1,1,1,0.9,1.1,1,1,0.8,0.8,1,1,1
ConditionLowerChanceOneIn,35,5,35,35,25,15,5,10,2,5,2,2,20,20,10,25,3
ConditionMax,13,5,13,13,15,15,10,10,7,5,10,10,13,13,13,15,4
critDmgMultiplier,,,,,,,,,,,,,,,,,
CriticalChance,20,15,20,20,50,20,30,20,10,35,10,10,25,25,20,50,20
DamageCategory,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,,Slash,Slash
DigType,,,,,,,,,,,,,PickAxe,PickAxe,,,
DoorDamage,35,15,35,15,55,15,7,15,15,10,5,5,35,35,15,55,15
EnduranceMod,,,,,3,,,,,,,,,,,3,
HeadCondition,13,5,13,13,,,,,,5,,,13,13,,15,
HeadConditionLowerChanceMultiplier,1.5,1,1.5,1.5,,,,,,,,,1.5,1.5,,1,
HeadConditionMax,,,,,,,,,,,,,,,,,
HitAngleMod,-30,-30,-30,-30,-30,-30,-30,-30,,,,,-30,-30,-30,-30,
MaxDamage,2,1.5,2,2,3,1.9,1.9,1.9,1.5,1.1,1.5,1.5,2.2,2.2,1.5,3,0.9
MinDamage,0.8,0.5,0.8,0.8,1.3,1.2,1.2,1.2,0.7,0.6,0.7,0.7,1,1,0.8,1.3,0.5
MaxHitCount,2,3,2,2,3,2,2,2,3,1,2,2,3,3,1,3,2
MaxRange,1.2,1.2,1.2,1.4,1.35,1.2,1.28,1.2,1.63,1.2,1.25,1.25,1.6,1.6,1.23,1.35,1
MinRange,0.61,0.61,0.61,0.61,0.61,0.8,0.61,0.8,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61
MinAngle,0.72,0.72,0.72,0.72,0.8,0.75,0.75,0.75,0.85,0.65,0.65,0.65,0.65,0.65,0.65,0.8,0.65
MetalValue,120,,120,120,120,5,5,5,,,,,120,120,,120,
PushBackMod,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3
RainFactor,,,,,,,,,,,,,,,,,
ReplaceOnUseOn,,,,,,,,,,,,,,,,,
Sharpness,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,,1.0,,
TreeDamage,35,10,35,15,55,15,1,15,10,1,0,15,35,35,15,55,0
WeaponLength,0.38,,0.38,0.38,0.5,0.38,0.5,0.38,,0.35,,,,,0.38,0.5,
WeaponWeight,,,,,,,,,,,,,,,,,
Weight,3,2,3,3.5,3,3,3,3,1.5,2,2,2,3,3,3,3,2
SplatBloodOnNoDeath,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
SplatNumber,3,3,3,3,3,3,3,3,1,1,1,1,3,3,3,3,3
SplatSize,5,5,5,5,5,5,,5,,,,,5,5,5,5,5
BreakSound,AxeBreak,RawAxeBreak,AxeBreak,AxeSawBladeBreak,AxeScrapCleaverBreak,MetalBaseballBatSawBladeBreak,RailSpikeBaseballBatBreak,SawBladeBaseballBatBreak,SawBladeFieldHockeyStickBreak,JawboneAxeBreak,RailSpikeLongHandleBreak,SawBladeLongHandleBreak,PickAxeBreak,PickAxeBreak,SawBladeShortBatBreak,WoodAxeBreak,TableLegSawBladeBreak
DoorHitSound,AxeHit,RawAxeHit,AxeHit,AxeSawBladeHit,AxeScrapCleaverHit,MetalBaseballBatSawBladeHit,RailSpikeBaseballBatHit,SawBladeBaseballBatHit,SawBladeFieldHockeyStickHit,JawboneAxeHit,RailSpikeLongHandleHit,SawBladeLongHandleHit,PickAxeHit,PickAxeHit,AxeHit,StoneAxeLargeHit,TableLegSawBladeHit
DropSound,AxeDrop,RawAxeDrop,AxeDrop,AxeSawBladeDrop,AxeScrapCleaverDrop,MetalBaseballBatSawBladeDrop,RailSpikeBaseballBatDrop,SawBladeBaseballBatDrop,SawBladeFieldHockeyStickDrop,JawboneAxeDrop,RailSpikeLongHandleDrop,SawBladeLongHandleDrop,PickAxeDrop,PickAxeDrop,SawBladeShortBatDrop,WoodAxeDrop,TableLegSawBladeDrop
EquipSound,,,,,,,,,,,,,,,,,
HitFloorSound,AxeHit,RawAxeHit,AxeHit,AxeSawBladeHit,AxeScrapCleaverHit,MetalBaseballBatSawBladeHit,RailSpikeBaseballBatHit,SawBladeBaseballBatHit,SawBladeFieldHockeyStickHit,JawboneAxeHit,RailSpikeLongHandleHit,SawBladeLongHandleHit,PickAxeHit,PickAxeHit,SawBladeShortBatHit,StoneAxeLargeHit,TableLegSawBladeHit
HitSound,AxeHit,RawAxeHit,AxeHit,AxeSawBladeHit,AxeScrapCleaverHit,MetalBaseballBatSawBladeHit,RailSpikeBaseballBatHit,SawBladeBaseballBatHit,SawBladeFieldHockeyStickHit,JawboneAxeHit,RailSpikeLongHandleHit,SawBladeLongHandleHit,PickAxeHit,PickAxeHit,SawBladeShortBatHit,StoneAxeLargeHit,TableLegSawBladeHit
ImpactSound,,,,,,,,,,,,,,,,,
SoundMap,,,,,,,,,,,,,,,,,
SwingSound,AxeSwing,RawAxeSwing,AxeSwing,AxeSawBladeSwing,AxeScrapCleaverSwing,MetalBaseballBatSawBladeSwing,RailSpikeBaseballBatSwing,SawBladeBaseballBatSwing,SawBladeFieldHockeyStickSwing,JawboneAxeSwing,RailSpikeLongHandleSwing,SawBladeLongHandleSwing,PickAxeSwing,PickAxeSwing,SawBladeShortBatSwing,StoneAxeLargeSwing,TableLegSawBladeSwing
UnequipSound,,,,,,,,,,,,,,,,,
Tooltip,,,,,,,,,,Tooltip_item_NotARealAxe,,,Tooltip_item_PickAxe,Tooltip_item_PickAxe,,,
ResearchableRecipes,MakeLargeStoneAxeHead,MakeLargeStoneAxeHead;Forge_Old_Axe_Head,MakeLargeStoneAxeHead;Forge_Old_Axe_Head;Forge_Hand_Axe_Head,,Forge_Meat_Cleaver_Blade,MakeSawbladeWeapon,BoneSpikeWeapon;MakeSpikedBaseballBat;MakeRailspikeCudgel,MakeSawPlank;MakeGardenForkHeadWeapon;MakeRakeHeadWeapon,MakeSawPlank;MakeBrakeWeapon,,BoneSpikeWeapon;RailspikeBaseballBat;MakeRailspikeIronPipe;MakeRailspikeWeapon,MakeSawPlank;MakeBrakeWeapon,MakeStoneMaulHead,MakeStoneMaulHead,MakeSawPlank,MakeStoneAxeHead;MakeStoneMaulHead;Forge_Old_Axe_Head,MakeSawPlank;MakeBrakeWeapon
OnBreak,OnBreak.FireAxe,OnBreak.AxeStone,OnBreak.OldAxe,,,,OnBreak.BaseballBat_RailSpike,OnBreak.BaseballBat_Sawblade,OnBreak.FieldHockeyStick,OnBreak.JawboneBovide_Axe,OnBreak.LongHandle,OnBreak.LongHandle,OnBreak.PickAxe,OnBreak.PickAxe,,OnBreak.StoneAxeLarge,OnBreak.TableLeg
OnCreate,,,,,,,,,,,,,,,,,
